james sanders , spoke with , microsoft quantum business development
it , will have , quantum volume
it , will have twice , quantum volume of at least 64
it , will have twice , quantum volume
honeywell , releases , its quantum computer
buyer 's guide james sanders , analyst at , 451 research
buyer , has , guide
buyer , 's guide is , free pdf
honeywell , has , announcement
honeywell , has , quantum computer
honeywell 's system , applies , fields
honeywell , has , system
honeywell 's system , applies , electromagnetic fields
honeywell 's trapped-ion qubits , can , can uniformly generated with errors
honeywell 's trapped-ion qubits , can , can uniformly generated
honeywell , has , trapped-ion qubits
honeywell 's trapped-ion qubits , can , can generated with errors
honeywell 's trapped-ion qubits , can , can generated
honeywell , of , quantum work
that , is , long coherence times
